title_x,author(s)_x,average_rating_x,isbn13,language_code_x,num_pages_x,ratings_count_x,text_reviews_count_x,publication_date_x,publisher_x,title_y,author(s)_y,average_rating_y,language_code_y,num_pages_y,ratings_count_y,text_reviews_count_y,publication_date_y,publisher_y,genres
j.r.r. tolkien 4-book boxed set: the hobbit and the lord of the rings,j.r.r. tolkien,4.59,9780345538376,eng,1728,101233,1550,9/25/2012,Ballantine Books,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,eng,1728.0,101233.0,1550.0,9/25/2012,Ballantine Books,[]
the lord of the rings (the lord of the rings  #1-3),j.r.r. tolkien,4.5,9780618517657,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng,1184.0,1710.0,91.0,10/21/2004,Houghton Mifflin Harcourt,"['fiction', 'english literature']"
the fellowship of the ring (the lord of the rings  #1),j.r.r. tolkien,4.36,9780618346257,eng,398,2128944,13670,9/5/2003,Houghton Mifflin Harcourt,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,eng,398.0,2128944.0,13670.0,9/5/2003,Houghton Mifflin Harcourt,"['elves', 'fiction', 'fantasy', 'fairy tales', 'english literature', 'roman']"
the lord of the rings (the lord of the rings  #1-3),j.r.r. tolkien/alan  lee,4.5,9780618260584,en-US,1216,1618,140,10/1/2002,Houghton Mifflin Harcourt,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,en-US,1216.0,1618.0,140.0,10/1/2002,Houghton Mifflin Harcourt,"['fiction', 'english literature']"
the lord of the rings: weapons and warfare,chris   smith/christopher  lee/richard taylor,4.53,9780618391004,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,218.0,19822.0,46.0,11/5/2003,Houghton Mifflin Harcourt,['geography']
the lord of the rings: complete visual companion,jude fisher,4.5,9780618510825,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,eng,224.0,359.0,6.0,11/15/2004,Houghton Mifflin Harcourt,[]
agile web development with rails: a pragmatic guide,dave thomas/david heinemeier hansson/leon breedt/mike clark/thomas  fuchs/andreas  schwarz,3.84,9780976694007,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,558.0,1430.0,59.0,7/28/2005,Pragmatic Bookshelf,[]
hatchet (brian's saga  #1),gary paulsen,3.72,9780689840920,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,eng,208.0,270244.0,12017.0,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,"['divorce', 'survival', 'fiction', 'juvenile', 'young adult', 'literature', 'faith', 'birds', 'wildlife', 'family']"
"hatchet: a guide for using ""hatchet"" in the classroom",donna ickes/edward sciranko/keith vasconcelles,4.0,9781557344496,eng,48,36,2,8/28/1994,Teacher Created Resources,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,eng,48.0,36.0,2.0,8/28/1994,Teacher Created Resources,[]
guts: the true stories behind hatchet and the brian books,gary paulsen,3.88,9780385326506,eng,144,2067,334,1/23/2001,Delacorte Press,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng,144.0,2067.0,334.0,1/23/2001,Delacorte Press,['biography']
molly hatchet - 5 of the best,molly hatchet,4.33,9781575606248,eng,56,6,0,6/10/2003,Cherry Lane Music Company,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,eng,56.0,6.0,0.0,6/10/2003,Cherry Lane Music Company,[]
hatchet jobs: writings on contemporary fiction,dale peck,3.45,9781595580276,en-US,228,99,16,11/1/2005,The New Press,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,en-US,228.0,99.0,16.0,11/1/2005,The New Press,[]
a changeling for all seasons (changeling seasons #1),angela knight/sahara kelly/judy mays/marteeka karland/kate douglas/shelby morgen/lacey savage/kate hill/willa okati,3.76,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304.0,167.0,4.0,11/1/2005,Changeling Press,[]
changeling (changeling  #1),delia sherman,3.6,9780670059676,eng,256,978,111,8/17/2006,Viking Juvenile,Changeling (Changeling  #1),Delia Sherman,3.6,eng,256.0,978.0,111.0,8/17/2006,Viking Juvenile,"['fantasy', 'fiction']"
the changeling sea,patricia a. mckillip,4.06,9780141312620,eng,137,4454,302,4/14/2003,Firebird,The Changeling Sea,Patricia A. McKillip,4.06,eng,137.0,4454.0,302.0,4/14/2003,Firebird,"['fantasy', 'fiction', 'magic']"
the changeling,zilpha keatley snyder,4.17,9780595321803,eng,228,1176,96,6/8/2004,iUniverse,The Changeling,Zilpha Keatley Snyder,4.17,eng,228.0,1176.0,96.0,6/8/2004,iUniverse,['fiction']
the changeling,kate horsley,3.55,9781590301944,eng,339,301,43,4/12/2005,Shambhala,The Changeling,Kate Horsley,3.55,eng,339.0,301.0,43.0,4/12/2005,Shambhala,['fiction']
the changeling (daughters of england  #15),philippa carr,3.98,9780449146972,eng,369,345,12,8/28/1990,Ivy Books,The Changeling (Daughters of England  #15),Philippa Carr,3.98,eng,369.0,345.0,12.0,8/28/1990,Ivy Books,"['fiction', 'history']"
the known world,edward p. jones,3.83,9780061159176,eng,388,29686,2626,8/29/2006,Amistad,The Known World,Edward P. Jones,3.83,eng,388.0,29686.0,2626.0,8/29/2006,Amistad,"['fiction', 'historical fiction']"
the known world,edward p. jones/kevin r. free,3.83,9780060762735,en-US,14,55,12,6/15/2004,HarperAudio,The Known World,Edward P. Jones/Kevin R. Free,3.83,en-US,14.0,55.0,12.0,6/15/2004,HarperAudio,"['fiction', 'historical fiction']"
traders  guns & money: knowns and unknowns in the dazzling world of derivatives,satyajit das,3.83,9780273704744,eng,334,1456,82,5/15/2006,FT Press,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng,334.0,1456.0,82.0,5/15/2006,FT Press,[]
artesia: adventures in the known world,mark smylie,4.13,9781932386103,eng,352,52,4,12/14/2005,Archaia,Artesia: Adventures in the Known World,Mark Smylie,4.13,eng,352.0,52.0,4.0,12/14/2005,Archaia,['video games']
the john mcphee reader (john mcphee reader  #1),john mcphee/william howarth,4.42,9780374517199,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,eng,416.0,562.0,37.0,6/1/1982,Farrar  Straus and Giroux,[]
uncommon carriers,john mcphee,3.95,9780374280390,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux,Uncommon Carriers,John McPhee,3.95,en-US,248.0,1630.0,203.0,5/16/2006,Farrar Straus Giroux,['travel']
heirs of general practice,john mcphee,4.17,9780374519742,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux,Heirs of General Practice,John McPhee,4.17,eng,128.0,268.0,22.0,4/1/1986,Farrar  Straus and Giroux,['medicine']
the control of nature,john mcphee,4.24,9780374522599,en-US,288,3498,305,9/1/1990,Farrar  Straus and Giroux,The Control of Nature,John McPhee,4.24,en-US,288.0,3498.0,305.0,9/1/1990,Farrar  Straus and Giroux,['nature']
annals of the former world,john mcphee,4.34,9780374518738,eng,720,3115,228,1/6/1999,Farrar  Straus and Giroux,Annals of the Former World,John McPhee,4.34,eng,720.0,3115.0,228.0,1/6/1999,Farrar  Straus and Giroux,['geology']
coming into the country,john mcphee,4.22,9780374522872,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux,Coming Into the Country,John McPhee,4.22,eng,448.0,5704.0,261.0,4/1/1991,Farrar  Straus and Giroux,"['travel', 'history']"
la place de la concorde suisse,john mcphee,3.92,9780374519322,fre,160,698,52,4/1/1994,Farrar  Straus and Giroux,La Place de la Concorde Suisse,John McPhee,3.92,fre,160.0,698.0,52.0,4/1/1994,Farrar  Straus and Giroux,[]
giving good weight,john mcphee,4.23,9780374516000,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux,Giving Good Weight,John McPhee,4.23,eng,288.0,542.0,36.0,4/1/1994,Farrar  Straus and Giroux,"['short stories', 'essays']"
rising from the plains,john mcphee,4.23,9780374520656,eng,208,1341,98,11/1/1987,Farrar  Straus and Giroux,Rising from the Plains,John McPhee,4.23,eng,208.0,1341.0,98.0,11/1/1987,Farrar  Straus and Giroux,[]
the heidi chronicles,wendy wasserstein,3.75,9780822205104,eng,81,1423,70,3/1/2002,Dramatists Play Service,The Heidi Chronicles,Wendy Wasserstein,3.75,eng,81.0,1423.0,70.0,3/1/2002,Dramatists Play Service,['drama']
the heidi chronicles: uncommon women and others & isn't it romantic,wendy wasserstein,3.84,9780679734994,eng,249,2766,64,7/2/1991,Vintage,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng,249.0,2766.0,64.0,7/2/1991,Vintage,['drama']
active literacy across the curriculum: strategies for reading  writing  speaking  and listening,heidi hayes jacobs,3.94,9781596670235,eng,138,31,1,3/29/2006,Routledge,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,eng,138.0,31.0,1.0,3/29/2006,Routledge,[]
simply beautiful beaded jewelry,heidi boyd,3.77,9781581807745,en-US,128,62,4,3/14/2006,North Light Books,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,en-US,128.0,62.0,4.0,3/14/2006,North Light Books,"['crafts', 'nonfiction']"
always enough: god's miraculous provision among the poorest children on earth,heidi baker/rolland baker,4.46,9780800793616,eng,192,860,53,9/1/2003,Chosen Books,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,eng,192.0,860.0,53.0,9/1/2003,Chosen Books,['biography']
mapping the big picture: integrating curriculum & assessment k-12,heidi hayes jacobs,3.68,9780871202864,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,en-US,108.0,77.0,2.0,1/28/1997,Association for Supervision & Curriculum Development,[]
heidi (heidi  #1-2),johanna spyri/beverly cleary/angelo  rinaldi,3.99,9780753454947,eng,352,153317,2257,11/15/2002,Kingfisher,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,eng,352.0,153317.0,2257.0,11/15/2002,Kingfisher,"['juvenile', 'adult', 'fiction', 'literature', 'picture books', 'chapter books', 'family', 'nature', 'history', 'short stories', 'classics', 'classic literature', 'historical fiction']"
getting results with curriculum mapping,heidi hayes jacobs,3.25,9780871209993,eng,192,55,5,11/15/2004,ASCD,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,eng,192.0,55.0,5.0,11/15/2004,ASCD,[]
there's always enough: the miraculous move of god in mozambique,rolland baker/heidi baker,4.46,9781852402877,eng,192,34,6,4/28/2003,Sovereign World,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,eng,192.0,34.0,6.0,4/28/2003,Sovereign World,[]
what to expect the first year (what to expect),heidi murkoff/sharon mazel/arlene eisenberg/sandee hathaway/mark d. widome,3.89,9780761129585,eng,832,11797,659,10/16/2003,Workman Publishing Company,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,832.0,11797.0,659.0,10/16/2003,Workman Publishing Company,[]
the player's handbook: the ultimate guide on dating and relationships,heidi fleiss/libby keatinge,3.82,9780972016414,eng,123,34,8,5/10/2004,One Hour Entertainment,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,eng,123.0,34.0,8.0,5/10/2004,One Hour Entertainment,[]
simply beautiful beading: 53 quick and easy projects,heidi boyd,3.78,9781581805635,en-US,128,78,4,8/19/2004,North Light Books,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,en-US,128.0,78.0,4.0,8/19/2004,North Light Books,"['nonfiction', 'crafts']"
god emperor of dune (dune chronicles  #4),frank herbert,3.84,9780441294671,eng,423,2785,166,6/15/1987,Ace Books,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,eng,423.0,2785.0,166.0,6/15/1987,Ace Books,"['fiction', 'science fiction', 'roman']"
chapterhouse: dune (dune chronicles #6),frank herbert,3.91,9780441102679,eng,436,38778,568,7/1/1987,Ace Books,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng,436.0,38778.0,568.0,7/1/1987,Ace Books,"['fiction', 'science fiction', 'literature']"
dune messiah (dune chronicles #2),frank herbert,3.88,9780441172696,eng,331,97494,2359,7/15/1987,Ace Books,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng,331.0,97494.0,2359.0,7/15/1987,Ace Books,"['fiction', 'science fiction']"
dreamer of dune: the biography of frank herbert,brian herbert,4.01,9780765306470,en-US,592,784,21,7/1/2004,Tor Books,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,en-US,592.0,784.0,21.0,7/1/2004,Tor Books,"['science fiction', 'biography']"
heretics of dune (dune chronicles  #5),frank herbert,3.86,9780399128981,eng,480,272,20,4/16/1984,Putnam,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,eng,480.0,272.0,20.0,4/16/1984,Putnam,"['science fiction', 'fiction']"
the road to dune,frank herbert/brian herbert/kevin j. anderson,3.88,9780765353702,eng,426,4789,83,8/29/2006,Tor Science Fiction,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426.0,4789.0,83.0,8/29/2006,Tor Science Fiction,['science fiction']
heretics of dune (dune chronicles #5),frank herbert,3.86,9780441328000,eng,471,45388,644,8/15/1987,Ace Books,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,471.0,45388.0,644.0,8/15/1987,Ace Books,"['science fiction', 'fiction']"
the lord of the rings: the art of the fellowship of the ring,gary russell,4.59,9780618212903,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng,192.0,26153.0,102.0,6/12/2002,Houghton Mifflin Harcourt,[]
the power of one (the power of one  #1),bryce courtenay,4.35,9780345410054,eng,544,69167,4551,9/29/1996,Ballantine Books,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,544.0,69167.0,4551.0,9/29/1996,Ballantine Books,"['fiction', 'history', 'historical fiction', 'sports', 'south africa']"
the power of one: one person  one rule  one month,john c. maxwell/stephen r. graves/thomas g. addington,4.28,9780785260059,en-US,256,16,1,11/1/2004,Thomas Nelson,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,en-US,256.0,16.0,1.0,11/1/2004,Thomas Nelson,[]
power of an hour: business and life mastery in one hour a week,dave lakhani,3.34,9780471780939,eng,205,174,16,5/19/2006,Wiley,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng,205.0,174.0,16.0,5/19/2006,Wiley,"['business', 'nonfiction']"
the power of one: the solo play for playwrights  actors  and directors,louis e. catron,3.67,9780325001531,eng,240,10,0,2/7/2000,Heinemann Drama,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,eng,240.0,10.0,0.0,2/7/2000,Heinemann Drama,[]
how to buy  sell & profit on ebay: kick-start your home-based business in just thirty days,adam ginsberg,3.48,9780060762872,eng,336,76,9,5/3/2005,William Morrow Paperbacks,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng,336.0,76.0,9.0,5/3/2005,William Morrow Paperbacks,['management']
ebay for dummies,marsha collier,3.5,9780470045299,eng,386,111,9,10/30/2006,Wiley,eBay for Dummies,Marsha Collier,3.5,eng,386.0,111.0,9.0,10/30/2006,Wiley,[]
what to sell on ebay and where to get it: the definitive guide to product sourcing for ebay and beyond,chris malta/lisa suttora,3.62,9780072262780,eng,260,24,0,1/24/2006,McGraw-Hill,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,eng,260.0,24.0,0.0,1/24/2006,McGraw-Hill,"['business', 'nonfiction']"
starting an ebay business for dummies,marsha collier,3.55,9780764569241,eng,384,55,4,9/17/2004,Wiley,Starting an eBay Business for Dummies,Marsha Collier,3.55,eng,384.0,55.0,4.0,9/17/2004,Wiley,[]
ebay: top 100 simplified tips & tricks,julia wilkinson,4.27,9780471933823,eng,260,9,0,6/6/2006,Wiley,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,eng,260.0,9.0,0.0,6/6/2006,Wiley,[]
ebay timesaving techniques for dummies,marsha collier,3.39,9780764559914,en-US,391,22,1,5/31/2004,Wiley,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,en-US,391.0,22.0,1.0,5/31/2004,Wiley,['nonfiction']
ebay business all-in-one desk reference for dummies,marsha collier,3.89,9780764584381,en-US,864,17,3,4/25/2005,Wiley,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,en-US,864.0,17.0,3.0,4/25/2005,Wiley,[]
ruby cookbook,lucas carlson/leonard richardson,3.84,9780596523695,eng,873,166,4,7/29/2006,O'Reilly Media,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,eng,873.0,166.0,4.0,7/29/2006,O'Reilly Media,[]
ruby ann's down home trailer park cookbook,ruby ann boxcar,4.12,9780806523491,eng,240,50,5,5/3/2005,Citadel,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,eng,240.0,50.0,5.0,5/3/2005,Citadel,['cooking']
ruby ann's down home trailer park bbqin' cookbook,ruby ann boxcar,4.08,9780806525365,eng,206,13,2,5/3/2005,Citadel,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,eng,206.0,13.0,2.0,5/3/2005,Citadel,[]
rails cookbook: recipes for rapid web development with ruby,rob orsini,3.48,9780596527310,eng,514,64,1,1/1/2007,O'Reilly Media,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,eng,514.0,64.0,1.0,1/1/2007,O'Reilly Media,[]
anna karenina,leo tolstoy/richard pevear/larissa volokhonsky,4.05,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng,838.0,16643.0,1851.0,5/31/2004,Penguin Classics,"['fiction', 'russian literature', 'classic literature', 'literature', 'drama', 'romance', 'history', 'russia', 'love', 'marriage', 'classics', 'biography']"
anna karenina,leo tolstoy/david magarshack/priscilla meyer,4.05,9780451528612,eng,960,109420,5696,11/5/2002,Signet,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,eng,960.0,109420.0,5696.0,11/5/2002,Signet,"['fiction', 'russian literature', 'classic literature', 'literature', 'drama', 'romance', 'history', 'russia', 'love', 'marriage', 'classics', 'biography']"
anna karenina,leo tolstoy/richard pevear/larissa volokhonsky/john bayley,4.05,9780140449174,eng,837,2904,309,1/30/2003,Penguin Books,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,eng,837.0,2904.0,309.0,1/30/2003,Penguin Books,"['fiction', 'russian literature', 'classic literature', 'literature', 'drama', 'romance', 'history', 'russia', 'love', 'marriage', 'classics', 'biography']"
cliffsnotes on tolstoy's anna karenina,marianne sturman/leo tolstoy,3.85,9780822001836,eng,80,16,3,11/26/1965,Cliffs Notes,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,eng,80.0,16.0,3.0,11/26/1965,Cliffs Notes,[]
